"year","count","rx1day_average"
1981,144,99
1982,119,135
1983,140,111
1984,147,99
1985,143,54
1986,148,58
1987,142,81
1988,144,74
1989,146,86
1990,149,102
1991,171,106
1992,160,102
1993,169,106
1994,172,105
1995,174,110
1996,175,98
1997,173,105
1998,163,92
1999,133,56
2000,165,89
2001,177,89
2002,170,96
2003,170,74
2004,161,74
2005,173,90
2006,169,86
2007,163,83
2008,160,88
2009,148,80
2010,171,80
2011,169,79
2012,178,83
2013,166,81
2014,173,90
2015,175,85
2016,174,81
2017,172,94
2018,175,86
2019,174,90
2020,159,79
2021,165,83
